[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/8a
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/8b
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/8c
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/8d
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/8e
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/8f
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/90
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/91
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/92
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/93
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/94
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/95
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/96
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/97
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/98
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/99
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/9a
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/9b
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/9c
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/9d
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/9e
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/9f
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/a0
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/a1
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/a2
