08/14/2024-20:16:35.032045  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49901 -> 72.5.43.29:80
08/14/2024-20:14:12.558823  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49849 -> 72.5.43.29:80
08/14/2024-20:14:39.330259  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49855 -> 72.5.43.29:80
08/14/2024-20:14:54.536462  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49857 -> 72.5.43.29:80
08/14/2024-20:15:00.204496  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49859 -> 72.5.43.29:80
08/14/2024-20:22:32.677692  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49987 -> 72.5.43.29:80
08/14/2024-20:15:07.451250  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49860 -> 72.5.43.29:80
08/14/2024-20:22:47.808165  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49990 -> 72.5.43.29:80
08/14/2024-20:22:53.025949  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49991 -> 72.5.43.29:80
08/14/2024-20:16:53.383152  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49906 -> 72.5.43.29:80
